Image Sticker,Slice Index,Model,IoU,Dice
lung_074,331,EfficientSAM (VIT-small),0.1502590673575129,0.2612612612612612
lung_074,332,EfficientSAM (VIT-tiny),0.1916329284750337,0.3216308040770101
lung_074,332,EfficientSAM (VIT-small),0.1931668856767411,0.3237885462555066
lung_074,333,EfficientSAM (VIT-tiny),0.131578947368421,0.2325581395348837
lung_074,333,EfficientSAM (VIT-small),0.1313269493844049,0.2321644498186215
lung_074,334,EfficientSAM (VIT-tiny),0.0877437325905292,0.1613316261203585
lung_074,334,EfficientSAM (VIT-small),0.0900277008310249,0.1651842439644218
lung_074,335,EfficientSAM (VIT-tiny),0.1636828644501279,0.2813186813186813
lung_074,335,EfficientSAM (VIT-small),0.1099706744868035,0.1981505944517833
lung_046,138,EfficientSAM (VIT-tiny),0.0331491712707182,0.0641711229946524
lung_046,138,EfficientSAM (VIT-small),0.0355029585798816,0.0685714285714285
lung_046,139,EfficientSAM (VIT-tiny),0.2229299363057325,0.3645833333333333
lung_046,139,EfficientSAM (VIT-small),0.134185303514377,0.2366197183098591
lung_046,140,EfficientSAM (VIT-tiny),0.1666666666666666,0.2857142857142857
lung_046,140,EfficientSAM (VIT-small),0.1672597864768683,0.2865853658536585
lung_046,141,EfficientSAM (VIT-tiny),0.1948717948717948,0.3261802575107296
lung_046,141,EfficientSAM (VIT-small),0.1762114537444934,0.299625468164794
lung_046,142,EfficientSAM (VIT-tiny),0.3114754098360656,0.475
lung_046,142,EfficientSAM (VIT-small),0.3732057416267942,0.5435540069686411
lung_046,143,EfficientSAM (VIT-tiny),0.3936651583710407,0.564935064935065
lung_046,143,EfficientSAM (VIT-small),0.3518197573656845,0.5205128205128206
lung_046,144,EfficientSAM (VIT-tiny),0.1215106732348111,0.2166910688140556
lung_046,144,EfficientSAM (VIT-small),0.4274447949526814,0.5988950276243094
lung_046,145,EfficientSAM (VIT-tiny),0.2952755905511811,0.4559270516717325
lung_046,145,EfficientSAM (VIT-small),0.341500765696784,0.5091324200913242
lung_046,146,EfficientSAM (VIT-tiny),0.29097605893186,0.4507845934379458
lung_046,146,EfficientSAM (VIT-small),0.307909604519774,0.4708423326133909
lung_046,147,EfficientSAM (VIT-tiny),0.2104607721046077,0.3477366255144033
lung_046,147,EfficientSAM (VIT-small),0.2022367194780988,0.3364341085271318
lung_046,148,EfficientSAM (VIT-tiny),0.1770833333333333,0.3008849557522124
lung_046,148,EfficientSAM (VIT-small),0.2591093117408907,0.4115755627009646
lung_046,149,EfficientSAM (VIT-tiny),0.0537428023032629,0.1020036429872495
lung_046,149,EfficientSAM (VIT-small),0.0778210116731517,0.1444043321299639
lung_046,150,EfficientSAM (VIT-tiny),0.0891719745222929,0.1637426900584795
lung_046,150,EfficientSAM (VIT-small),0.0962145110410094,0.1755395683453237
lung_046,151,EfficientSAM (VIT-tiny),0.1114599686028257,0.2005649717514124
lung_046,151,EfficientSAM (VIT-small),0.2105525136884022,0.3478618421052631
lung_046,152,EfficientSAM (VIT-tiny),0.1571238348868175,0.2715765247410817
lung_046,152,EfficientSAM (VIT-small),0.2434266327396098,0.3915416098226466
lung_046,153,EfficientSAM (VIT-tiny),0.1691648822269807,0.2893772893772894
lung_046,153,EfficientSAM (VIT-small),0.3304994686503719,0.4968051118210863
lung_046,154,EfficientSAM (VIT-tiny),0.1890440386680988,0.3179765130984643
lung_046,154,EfficientSAM (VIT-small),0.272145144076841,0.4278523489932886
lung_046,155,EfficientSAM (VIT-tiny),0.1568247821878025,0.2711297071129707
lung_046,155,EfficientSAM (VIT-small),0.2338787295476419,0.3790951638065523
lung_046,156,EfficientSAM (VIT-tiny),0.1564960629921259,0.2706382978723404
lung_046,156,EfficientSAM (VIT-small),0.3916591115140526,0.5628664495114006
lung_046,157,EfficientSAM (VIT-tiny),0.0991735537190082,0.1804511278195488
lung_046,157,EfficientSAM (VIT-small),0.1410373066424022,0.2472089314194577
lung_046,158,EfficientSAM (VIT-tiny),0.1269990592662276,0.2253756260434056
lung_046,158,EfficientSAM (VIT-small),0.4109274563820018,0.58249267816466
lung_046,159,EfficientSAM (VIT-tiny),0.1340782122905028,0.2364532019704433
lung_046,159,EfficientSAM (VIT-small),0.2103849597135183,0.3476331360946745
lung_046,160,EfficientSAM (VIT-tiny),0.1014176663031624,0.1841584158415841
lung_046,160,EfficientSAM (VIT-small),0.205050505050505,0.3403185247275775
lung_046,161,EfficientSAM (VIT-tiny),0.1616379310344827,0.2782931354359926
lung_046,161,EfficientSAM (VIT-small),0.4303560274828232,0.6017467248908297
lung_046,162,EfficientSAM (VIT-tiny),0.1622554660529344,0.2792079207920792
lung_046,162,EfficientSAM (VIT-small),0.2045197740112994,0.3395872420262664
lung_046,163,EfficientSAM (VIT-tiny),0.4010695187165775,0.5725190839694656
lung_046,163,EfficientSAM (VIT-small),0.3330625507717303,0.4996953077391834
lung_046,164,EfficientSAM (VIT-tiny),0.1852941176470588,0.3126550868486352
lung_046,164,EfficientSAM (VIT-small),0.126,0.2238010657193605
